"station","POSIXtime","parsivelStatus","precipCode","parsivelR","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","class31","class32"
"Payerne MCH Roof",2014-04-08 05:29:00,0,0,3.483,0,0,21.7504276556548,54.8796686916703,244.957815516724,178.685459523421,224.236639304262,227.54562643954,285.761562001881,105.280069938116,89.5258797222826,42.553162629728,21.224247130901,9.19195916934776,5.15644138380555,1.12739106618339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:29:30,0,0,4.132,0,0,14.398819490136,116.494009709366,224.185481065521,233.170151693243,371.577369550675,240.661833466683,170.048253444782,146.389430580618,103.036792220794,47.0482150201922,24.8323691431541,19.1662127360868,9.69437022788695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:30:00,0,0,3.685,0,0,23.2292182314104,80.4165639425184,203.2726036584,253.912849194824,256.362190975462,318.396664865922,364.351287355994,162.432107904522,104.174055303652,32.963717530071,14.0080031063946,11.8167627395422,2.72145517478626,0,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:30:30,0,0,3.605,0,0,16.7626044668793,114.467377510124,196.135823800223,174.482690748591,334.415062473701,411.858040866266,102.685631712685,120.320079929275,72.1547065099101,16.7815289243998,3.60812201225316,12.5167103582607,18.1907793262029,1.12739106618339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:31:00,0,0,4.135,0,0,23.5727258217904,110.736549583925,126.277952850645,258.330948276823,261.254626742101,219.822145646553,168.088806114524,83.221388617749,82.8025923123088,16.7815289243998,31.6241282250424,6.25835517913037,10.8858206991451,2.25478213236679,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:31:30,0,0,4.917,0,0,26.6547539420554,107.52749749891,186.269472986922,281.675565256045,272.944517511945,250.16765598113,240.482441262147,101.26940060714,106.157169631165,27.8693248208782,17.1916401760298,14.7503667297596,10.0264138018441,3.22843805316154,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:32:00,0,0,3.263,0,0,18.1931887700222,78.5086276094424,200.392649601281,249.35917692654,225.106997743346,256.853453660265,117.831629995216,120.320079929275,70.0315631172868,21.8759216335926,17.6161251186478,22.0998167263041,0,2.25478213236679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:32:30,0,0,3.35,0,0,11.6600159884201,128.872535225197,245.811876021296,293.624518209456,212.835387812685,295.274611854964,218.345982233832,83.221388617749,69.0021602602574,31.7650368926138,6.06820520242578,8.80081197065209,4.86997241803858,1.12739106618339,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:33:00,0,0,2.957,0,0,21.7055564081913,94.4761328437037,175.885231007292,302.372607721587,287.867723273923,340.564372007924,231.426617114199,155.413436575314,73.6023042776078,40.1558013548137,7.21624402450632,0,10.0264138018441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:33:30,0,0,2.056,0,0,31.7283782323997,115.314203058189,241.284125328807,219.824822759535,197.248866786227,310.127459533786,236.457630529726,81.216053952261,59.6088591898633,32.963717530071,3.60812201225316,0,2.43498620901929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:34:00,0,0,3.76,0,0,21.5751872432633,103.500640523723,259.19918084211,226.956334257794,248.11672892628,124.169806594945,89.5520387963642,24.0640159858551,61.7802558414098,31.7650368926138,13.5835181637766,12.1255631595651,10.9622124233496,2.25478213236679,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:34:30,0,0,4.303,0,0,32.799992555834,122.019625495217,172.026075457455,227.448517817037,243.25075176015,227.54562643954,139.862172951625,157.418771240802,95.5414526680486,34.1623981675281,35.6567351799136,11.4256155408465,2.43498620901929,1.12739106618339,0,0.68780467243722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:35:00,0,0,5.719,0,0,34.6695672299953,92.7802811289672,137.194953173828,208.41802335908,242.998192391665,161.598982745574,179.104077592728,168.448111900986,66.5894973140944,20.0779006774069,7.21624402450632,21.3175223289128,5.44291034957253,4.50956426473357,0.918409021747034,1.48421008262769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:35:30,0,0,6.11,0,0,20.3794291351798,79.8791086937524,274.74842993079,341.36729780136,407.51295969501,338.644927077123,285.761562001881,90.2400599469567,65.6244321356294,25.7716337053282,28.0160062127893,17.6016239413042,7.87789655859179,2.25478213236679,1.06342097254919,0.68780467243722,0.801911684749412,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:36:00,0,0,3.263,0,0,14.3712297366281,80.5448416688723,192.984730935454,245.026820229296,317.479707896875,347.312000546175,154.955213198203,79.2107192867731,68.5517965103069,36.8594296018066,24.4078842005361,0,5.44291034957253,2.25478213236679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:36:30,0,0,4.181,0,0,12.0620381109654,72.1810238796637,280.237092279268,294.096379709975,170.982692463861,250.121954911348,154.955213198203,109.290739269092,47.0630118698165,35.6607489643495,25.2568540857722,9.19195916934776,10.5993517333781,2.25478213236679,1.06342097254919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:37:00,0,0,4.883,0,0,12.8286290130153,111.543534765941,206.011479969053,235.148350998664,223.048962684261,242.398474118361,194.25007587526,111.29607393458,59.3515084756059,37.4587699205352,20.3752772456649,9.19195916934776,10.5993517333781,3.38217319855018,1.98182999429623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:37:30,0,0,5.612,0,0,13.8340279280303,72.4224042332211,190.669515696636,136.174218131225,195.182690619293,208.57968248043,296.882749551991,216.576143872696,54.0436499940477,46.4488747014637,25.3874648373469,18.7750655373911,2.43498620901929,4.50956426473357,0.918409021747034,0.68780467243722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:38:00,0,0,6.063,0,0,17.0498612997408,33.3452402264383,132.07700763297,269.812493879572,332.234910796888,166.70137277171,164.01103734615,72.1920479575654,96.5065178465137,16.3232098571367,14.0080031063946,42.24389745913,5.44291034957253,5.76958957399737,1.83681804349406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:38:30,0,0,6.162,0,0,11.5751446514383,63.7584312351348,154.994707845062,228.453206994248,185.389677978167,272.743984452938,253.66899221442,186.496123890377,71.7365115992419,68.6244664944205,13.5835181637766,11.5079623195194,10.0264138018441,6.76434639710036,0,0.68780467243722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:39:00,0,0,7.95,0,0,18.0579484471488,84.8707535436331,166.150652584928,198.404676903079,240.633755637188,280.558867385487,188.159901740675,87.2320579487248,44.6503489236537,66.7447173129536,32.0486131676604,9.19195916934776,10.3128827676111,3.22843805316154,3.81864803779029,0.68780467243722,0.546757966874598,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:39:30,0,0,3.614,0,0,14.2349585877994,69.8421789154223,124.856586533143,241.198896003404,234.266854224066,210.071687993868,194.197117839307,109.290739269092,62.9865873144913,41.9538223109995,13.5835181637766,6.25835517913037,5.15644138380555,2.25478213236679,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:40:00,0,0,4.78,0,0,22.9283181138473,45.3547953556731,81.5491410276259,123.453444522836,217.850495272587,267.112716556512,186.147496374465,126.33608392574,86.8558660618623,27.8693248208782,21.224247130901,25.4245679152172,18.1907793262029,0,0.918409021747034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:40:30,0,0,2.265,0,0,10.2609830444172,50.4478520464028,95.9159682154869,139.836225274929,186.739991729961,121.304080689855,205.265347353464,83.221388617749,42.462867852466,29.6673457770639,10.8243660367595,6.25835517913037,7.59142759282487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
